COMBINED

=== OVERALL STATS.CSV ===
elev,N,count,median,p25,p75
8,0,45,0.606,0.552,0.722
8,2,38,0.67,0.533,0.75
8,3,24,0.685,0.595,0.812
8,5,28,0.596,0.547,0.847
8,6,58,0.638,0.481,0.757
8,7,44,0.601,0.504,0.772
8,8,160,0.404,0.239,0.622
13,0,58,0.615,0.5,0.728
13,2,72,0.683,0.516,0.802
13,3,39,0.652,0.513,0.705
13,5,54,0.639,0.55,0.781
13,6,103,0.637,0.532,0.818
13,7,55,0.579,0.448,0.701
13,8,340,0.349,0.2,0.527
18,0,112,0.682,0.611,0.804
18,1,5,0.743,0.617,0.756
18,2,115,0.701,0.622,0.786
18,3,112,0.685,0.615,0.778
18,5,104,0.714,0.614,0.808
18,6,208,0.677,0.543,0.806
18,7,125,0.555,0.43,0.779
18,8,719,0.327,0.2,0.497
23,0,129,0.782,0.706,0.918
23,1,14,0.762,0.689,0.866
23,2,112,0.781,0.697,0.857
23,3,101,0.746,0.675,0.86
23,5,134,0.784,0.691,0.862
23,6,222,0.753,0.548,0.885
23,7,87,0.675,0.417,0.823
23,8,472,0.359,0.218,0.552
28,0,139,0.905,0.758,1.005
28,2,92,0.886,0.781,1.013
28,3,57,0.847,0.78,0.907
28,5,63,0.87,0.783,0.955
28,6,115,0.807,0.606,0.938
28,7,67,0.682,0.477,0.845
28,8,250,0.391,0.244,0.582
33,0,220,0.939,0.85,1.019
33,1,6,0.957,0.875,1.018
33,2,140,0.933,0.871,1.018
33,3,81,0.9,0.829,0.995
33,5,73,0.929,0.84,0.991
33,6,137,0.89,0.673,0.976
33,7,71,0.607,0.361,0.85
33,8,244,0.381,0.223,0.602
38,0,46,0.866,0.83,0.975
38,2,61,0.897,0.836,0.97
38,3,27,0.888,0.837,0.943
38,5,55,0.912,0.78,0.955
38,6,63,0.808,0.571,0.912
38,7,41,0.639,0.316,0.859
38,8,153,0.335,0.23,0.627
43,0,43,0.881,0.842,0.922
43,1,8,0.938,0.821,1.067
43,2,67,0.869,0.847,0.969
43,3,39,0.889,0.835,0.964
43,5,45,0.889,0.837,0.978
43,6,62,0.889,0.738,0.999
43,7,32,0.606,0.388,0.88
43,8,142,0.371,0.206,0.603
48,0,86,0.902,0.829,0.969
48,1,12,0.922,0.844,1.016
48,2,80,0.919,0.867,0.972
48,3,43,0.917,0.869,0.963
48,5,46,0.9,0.84,0.958
48,6,88,0.953,0.784,1.044
48,7,36,0.716,0.48,0.994
48,8,117,0.345,0.237,0.746
53,0,103,0.948,0.891,0.999
53,1,17,0.945,0.884,1.022
53,2,126,0.933,0.882,0.972
53,3,72,0.932,0.887,0.973
53,5,123,0.937,0.871,0.994
53,6,140,0.939,0.83,0.998
53,7,50,0.839,0.472,0.935
53,8,88,0.48,0.199,0.902
58,0,39,0.906,0.85,0.985
58,1,9,0.992,0.986,1.005
58,2,75,0.964,0.896,1.013
58,3,42,0.929,0.865,1.01
58,5,39,0.973,0.889,1.028
58,6,54,0.959,0.894,1.027
58,7,30,0.832,0.413,0.96
58,8,59,0.356,0.2,0.71
63,0,34,0.928,0.846,0.993
63,1,7,0.883,0.861,1.026
63,2,50,0.911,0.856,0.992
63,3,21,0.941,0.861,0.967
63,5,33,0.916,0.845,0.965
63,6,44,0.91,0.845,1.016
63,7,21,0.827,0.627,0.99
63,8,39,0.315,0.217,0.62

=== SEASONAL COLD ===
elev,N,count,median,p25,p75
8,0,31,0.635,0.573,0.778
8,2,29,0.706,0.564,0.755
8,3,20,0.685,0.603,0.814
8,5,24,0.608,0.56,0.863
8,6,46,0.66,0.481,0.81
8,7,42,0.601,0.492,0.772
8,8,148,0.409,0.266,0.622
13,0,35,0.645,0.504,0.809
13,2,61,0.702,0.557,0.822
13,3,25,0.682,0.546,0.802
13,5,38,0.683,0.566,0.797
13,6,70,0.682,0.567,0.874
13,7,41,0.657,0.493,0.793
13,8,278,0.332,0.199,0.511
18,0,38,0.734,0.665,0.819
18,2,61,0.749,0.662,0.813
18,3,63,0.692,0.624,0.795
18,5,55,0.761,0.67,0.847
18,6,148,0.693,0.57,0.828
18,7,99,0.555,0.426,0.775
18,8,620,0.315,0.194,0.473
23,0,45,0.747,0.698,0.831
23,2,37,0.824,0.722,0.895
23,3,17,0.686,0.616,0.784
23,5,54,0.82,0.735,0.903
23,6,96,0.809,0.714,0.97
23,7,59,0.59,0.416,0.84
23,8,284,0.336,0.211,0.482
28,0,39,0.835,0.758,0.9
28,2,37,0.834,0.776,0.887
28,3,44,0.832,0.78,0.889
28,5,49,0.867,0.783,0.932
28,6,80,0.801,0.666,0.897
28,7,51,0.681,0.477,0.866
28,8,195,0.407,0.253,0.576
33,0,38,0.848,0.779,0.947
33,2,33,0.906,0.802,0.994
33,3,26,0.93,0.829,0.994
33,5,28,0.918,0.832,0.977
33,6,55,0.907,0.725,0.975
33,7,33,0.516,0.337,0.744
33,8,139,0.46,0.267,0.695
38,0,11,0.835,0.803,0.973
38,2,22,0.901,0.82,0.971
38,3,14,0.89,0.766,0.935
38,5,28,0.899,0.762,0.95
38,6,27,0.738,0.501,0.824
38,7,22,0.675,0.589,0.859
38,8,103,0.33,0.218,0.529
43,2,9,0.918,0.842,1.053
43,6,8,1.043,1.02,1.059
43,7,5,0.855,0.834,0.88
43,8,34,0.427,0.224,0.656

=== SEASONAL WARM ===
elev,N,count,median,p25,p75
8,0,14,0.568,0.487,0.606
8,2,9,0.603,0.524,0.65
8,6,12,0.569,0.501,0.655
8,8,12,0.283,0.165,0.626
13,0,23,0.525,0.478,0.664
13,2,11,0.513,0.45,0.61
13,3,14,0.542,0.486,0.666
13,5,16,0.551,0.501,0.664
13,6,33,0.559,0.474,0.656
13,7,14,0.46,0.36,0.52
13,8,62,0.417,0.254,0.578
18,0,74,0.669,0.605,0.769
18,2,54,0.634,0.601,0.728
18,3,49,0.684,0.612,0.776
18,5,49,0.656,0.578,0.764
18,6,60,0.639,0.516,0.743
18,7,26,0.594,0.458,0.798
18,8,99,0.421,0.241,0.602
23,0,84,0.826,0.72,0.933
23,1,13,0.781,0.695,0.866
23,2,75,0.759,0.696,0.826
23,3,84,0.747,0.691,0.894
23,5,80,0.745,0.679,0.83
23,6,126,0.673,0.455,0.839
23,7,28,0.684,0.44,0.811
23,8,188,0.413,0.23,0.698
28,0,100,0.964,0.845,1.026
28,2,55,0.963,0.839,1.027
28,3,13,1.005,0.862,1.031
28,5,14,0.886,0.795,0.962
28,6,35,0.841,0.434,1.032
28,7,16,0.682,0.517,0.845
28,8,55,0.353,0.218,0.621
33,0,182,0.949,0.882,1.039
33,2,107,0.937,0.873,1.029
33,3,55,0.892,0.82,1.006
33,5,45,0.941,0.862,1.016
33,6,82,0.876,0.621,0.98
33,7,38,0.681,0.502,0.864
33,8,105,0.301,0.182,0.464
38,0,35,0.866,0.832,0.984
38,2,39,0.897,0.84,0.97
38,3,13,0.884,0.862,0.943
38,5,27,0.918,0.842,0.961
38,6,36,0.876,0.717,0.982
38,7,19,0.392,0.224,0.925
38,8,50,0.344,0.27,0.728
43,0,43,0.881,0.842,0.922
43,1,8,0.938,0.821,1.067
43,2,58,0.869,0.849,0.934
43,3,36,0.895,0.845,0.964
43,5,43,0.889,0.837,0.978
43,6,54,0.868,0.636,0.916
43,7,27,0.495,0.368,0.784
43,8,108,0.354,0.204,0.602
48,0,86,0.902,0.829,0.969
48,1,12,0.922,0.844,1.016
48,2,80,0.919,0.867,0.972
48,3,43,0.917,0.869,0.963
48,5,46,0.9,0.84,0.958
48,6,88,0.953,0.784,1.044
48,7,36,0.716,0.48,0.994
48,8,117,0.345,0.237,0.746
53,0,103,0.948,0.891,0.999
53,1,17,0.945,0.884,1.022
53,2,126,0.933,0.882,0.972
53,3,72,0.932,0.887,0.973
53,5,123,0.937,0.871,0.994
53,6,140,0.939,0.83,0.998
53,7,50,0.839,0.472,0.935
53,8,88,0.48,0.199,0.902
58,0,39,0.906,0.85,0.985
58,1,9,0.992,0.986,1.005
58,2,75,0.964,0.896,1.013
58,3,42,0.929,0.865,1.01
58,5,39,0.973,0.889,1.028
58,6,54,0.959,0.894,1.027
58,7,30,0.832,0.413,0.96
58,8,59,0.356,0.2,0.71
63,0,34,0.928,0.846,0.993
63,1,7,0.883,0.861,1.026
63,2,50,0.911,0.856,0.992
63,3,21,0.941,0.861,0.967
63,5,33,0.916,0.845,0.965
63,6,44,0.91,0.845,1.016
63,7,21,0.827,0.627,0.99
63,8,39,0.315,0.217,0.62

=== MONTHLY 01 ===
elev,N,count,median,p25,p75
13,2,11,0.68,0.558,0.715
13,5,14,0.63,0.561,0.776
13,6,17,0.617,0.55,0.689
13,7,5,0.579,0.468,0.659
