elev,N,count,median,p25,p75
13,0,6,0.662,0.52,0.678
13,3,6,0.655,0.527,0.669
13,8,8,0.439,0.403,0.581
18,0,35,0.633,0.592,0.683
18,2,20,0.635,0.617,0.726
18,3,25,0.648,0.596,0.74
18,5,24,0.658,0.578,0.778
18,6,23,0.655,0.491,0.743
18,7,7,0.515,0.458,0.636
18,8,14,0.307,0.167,0.409
23,0,10,0.9,0.844,0.935
23,3,10,0.746,0.668,0.853
23,5,9,0.69,0.672,0.745
23,6,7,0.761,0.427,0.934
23,8,10,0.413,0.237,0.736
28,0,71,0.97,0.862,1.026
28,2,40,0.963,0.866,1.031
28,3,11,0.893,0.241,1.031
28,5,10,0.901,0.795,1.006
28,6,19,0.851,0.498,1.032
28,7,9,0.72,0.437,0.997
28,8,9,0.348,0.164,0.776
43,0,23,0.85,0.817,0.886
43,2,18,0.858,0.823,0.876
43,3,18,0.86,0.809,0.915
43,5,11,0.848,0.655,0.925
43,6,7,0.894,0.854,0.968
43,8,12,0.26,0.215,0.312
48,0,40,0.902,0.815,0.943
48,1,6,0.837,0.81,0.913
48,2,45,0.915,0.862,0.943
48,3,16,0.923,0.879,0.963
48,5,26,0.859,0.819,0.917
48,6,35,0.901,0.424,0.988
48,7,9,0.592,0.48,0.908
48,8,22,0.537,0.329,0.715
53,0,37,0.994,0.941,1.025
53,1,10,1.021,0.943,1.032
53,2,37,1.0,0.925,1.029
53,3,17,0.973,0.894,1.008
53,5,15,0.994,0.914,1.004
53,6,12,0.984,0.933,1.041
53,7,5,0.316,0.251,0.786
58,2,11,0.958,0.882,1.016
58,8,5,0.225,0.149,0.603
