elev,N,count,median,p25,p75
8,0,31,0.635,0.573,0.778
8,2,29,0.706,0.564,0.755
8,3,20,0.685,0.603,0.814
8,5,24,0.608,0.56,0.863
8,6,46,0.66,0.481,0.81
8,7,42,0.601,0.492,0.772
8,8,148,0.409,0.266,0.622
13,0,35,0.645,0.504,0.809
13,2,61,0.702,0.557,0.822
13,3,25,0.682,0.546,0.802
13,5,38,0.683,0.566,0.797
13,6,70,0.682,0.567,0.874
13,7,41,0.657,0.493,0.793
13,8,278,0.332,0.199,0.511
18,0,38,0.734,0.665,0.819
18,2,61,0.749,0.662,0.813
18,3,63,0.692,0.624,0.795
18,5,55,0.761,0.67,0.847
18,6,148,0.693,0.57,0.828
18,7,99,0.555,0.426,0.775
18,8,620,0.315,0.194,0.473
23,0,45,0.747,0.698,0.831
23,2,37,0.824,0.722,0.895
23,3,17,0.686,0.616,0.784
23,5,54,0.82,0.735,0.903
23,6,96,0.809,0.714,0.97
23,7,59,0.59,0.416,0.84
23,8,284,0.336,0.211,0.482
28,0,39,0.835,0.758,0.9
28,2,37,0.834,0.776,0.887
28,3,44,0.832,0.78,0.889
28,5,49,0.867,0.783,0.932
28,6,80,0.801,0.666,0.897
28,7,51,0.681,0.477,0.866
28,8,195,0.407,0.253,0.576
33,0,38,0.848,0.779,0.947
33,2,33,0.906,0.802,0.994
33,3,26,0.93,0.829,0.994
33,5,28,0.918,0.832,0.977
33,6,55,0.907,0.725,0.975
33,7,33,0.516,0.337,0.744
33,8,139,0.46,0.267,0.695
38,0,11,0.835,0.803,0.973
38,2,22,0.901,0.82,0.971
38,3,14,0.89,0.766,0.935
38,5,28,0.899,0.762,0.95
38,6,27,0.738,0.501,0.824
38,7,22,0.675,0.589,0.859
38,8,103,0.33,0.218,0.529
43,2,9,0.918,0.842,1.053
43,6,8,1.043,1.02,1.059
43,7,5,0.855,0.834,0.88
43,8,34,0.427,0.224,0.656
