elev,N,count,median,p25,p75
8,0,14,0.568,0.487,0.606
8,2,9,0.603,0.524,0.65
8,6,12,0.569,0.501,0.655
8,8,12,0.283,0.165,0.626
13,0,23,0.525,0.478,0.664
13,2,11,0.513,0.45,0.61
13,3,14,0.542,0.486,0.666
13,5,16,0.551,0.501,0.664
13,6,33,0.559,0.474,0.656
13,7,14,0.46,0.36,0.52
13,8,62,0.417,0.254,0.578
18,0,74,0.669,0.605,0.769
18,2,54,0.634,0.601,0.728
18,3,49,0.684,0.612,0.776
18,5,49,0.656,0.578,0.764
18,6,60,0.639,0.516,0.743
18,7,26,0.594,0.458,0.798
18,8,99,0.421,0.241,0.602
23,0,84,0.826,0.72,0.933
23,1,13,0.781,0.695,0.866
23,2,75,0.759,0.696,0.826
23,3,84,0.747,0.691,0.894
23,5,80,0.745,0.679,0.83
23,6,126,0.673,0.455,0.839
23,7,28,0.684,0.44,0.811
23,8,188,0.413,0.23,0.698
28,0,100,0.964,0.845,1.026
28,2,55,0.963,0.839,1.027
28,3,13,1.005,0.862,1.031
28,5,14,0.886,0.795,0.962
28,6,35,0.841,0.434,1.032
28,7,16,0.682,0.517,0.845
28,8,55,0.353,0.218,0.621
33,0,182,0.949,0.882,1.039
33,2,107,0.937,0.873,1.029
33,3,55,0.892,0.82,1.006
33,5,45,0.941,0.862,1.016
33,6,82,0.876,0.621,0.98
33,7,38,0.681,0.502,0.864
33,8,105,0.301,0.182,0.464
38,0,35,0.866,0.832,0.984
38,2,39,0.897,0.84,0.97
38,3,13,0.884,0.862,0.943
38,5,27,0.918,0.842,0.961
38,6,36,0.876,0.717,0.982
38,7,19,0.392,0.224,0.925
38,8,50,0.344,0.27,0.728
43,0,43,0.881,0.842,0.922
43,1,8,0.938,0.821,1.067
43,2,58,0.869,0.849,0.934
43,3,36,0.895,0.845,0.964
43,5,43,0.889,0.837,0.978
43,6,54,0.868,0.636,0.916
43,7,27,0.495,0.368,0.784
43,8,108,0.354,0.204,0.602
48,0,86,0.902,0.829,0.969
48,1,12,0.922,0.844,1.016
48,2,80,0.919,0.867,0.972
48,3,43,0.917,0.869,0.963
48,5,46,0.9,0.84,0.958
48,6,88,0.953,0.784,1.044
48,7,36,0.716,0.48,0.994
48,8,117,0.345,0.237,0.746
53,0,103,0.948,0.891,0.999
53,1,17,0.945,0.884,1.022
53,2,126,0.933,0.882,0.972
53,3,72,0.932,0.887,0.973
53,5,123,0.937,0.871,0.994
53,6,140,0.939,0.83,0.998
53,7,50,0.839,0.472,0.935
53,8,88,0.48,0.199,0.902
58,0,39,0.906,0.85,0.985
58,1,9,0.992,0.986,1.005
58,2,75,0.964,0.896,1.013
58,3,42,0.929,0.865,1.01
58,5,39,0.973,0.889,1.028
58,6,54,0.959,0.894,1.027
58,7,30,0.832,0.413,0.96
58,8,59,0.356,0.2,0.71
63,0,34,0.928,0.846,0.993
63,1,7,0.883,0.861,1.026
63,2,50,0.911,0.856,0.992
63,3,21,0.941,0.861,0.967
63,5,33,0.916,0.845,0.965
63,6,44,0.91,0.845,1.016
63,7,21,0.827,0.627,0.99
63,8,39,0.315,0.217,0.62
