elev,N,count,median,p25,p75
8,0,10,0.592,0.576,0.609
8,2,7,0.564,0.461,0.729
8,5,8,0.606,0.56,0.668
8,6,6,0.599,0.415,0.656
8,7,12,0.527,0.492,0.706
8,8,24,0.368,0.231,0.553
13,0,8,0.49,0.427,0.605
13,2,12,0.632,0.4,0.68
13,3,5,0.557,0.489,0.633
13,5,10,0.628,0.48,0.696
13,6,18,0.565,0.459,0.675
13,7,8,0.475,0.448,0.565
13,8,22,0.303,0.148,0.488
18,0,6,0.628,0.563,0.903
18,3,20,0.65,0.584,0.684
18,5,12,0.709,0.614,0.714
18,6,12,0.566,0.548,0.686
18,7,20,0.59,0.524,0.689
18,8,95,0.343,0.195,0.428
23,0,10,0.746,0.703,0.757
23,2,8,0.656,0.572,0.786
23,6,11,0.714,0.562,0.815
23,7,12,0.461,0.424,0.556
23,8,81,0.331,0.219,0.418
28,0,6,0.84,0.708,0.914
28,2,9,0.725,0.372,0.834
28,3,5,0.82,0.769,0.82
28,5,6,0.751,0.703,0.81
28,6,11,0.503,0.322,0.606
28,7,12,0.354,0.293,0.673
28,8,33,0.383,0.225,0.474
33,0,23,0.811,0.743,0.936
33,2,9,0.802,0.748,0.882
33,3,12,0.849,0.802,0.942
33,6,12,0.779,0.761,0.839
33,8,15,0.677,0.4,0.833
38,0,9,0.83,0.803,0.904
38,2,9,0.817,0.79,0.829
38,3,6,0.845,0.78,0.876
38,5,12,0.828,0.764,0.876
38,6,15,0.785,0.571,0.812
38,7,6,0.663,0.589,0.735
38,8,30,0.341,0.184,0.759
43,2,6,0.842,0.837,0.918
43,3,6,0.853,0.834,0.946
43,6,5,0.506,0.313,1.006
43,8,27,0.291,0.199,0.574
48,6,5,0.967,0.599,1.046
48,8,6,0.506,0.324,0.628
