STATION: IODESS16

=== SEASONAL COLD ===
elev,N,count,median,p25,p75
8,0,17,0.618,0.585,0.704
8,2,14,0.682,0.564,0.751
8,3,9,0.644,0.545,0.68
8,5,12,0.612,0.576,0.864
8,6,21,0.597,0.481,0.664
8,7,23,0.579,0.455,0.745
8,8,67,0.411,0.208,0.561
13,0,17,0.652,0.605,0.747
13,2,29,0.71,0.668,0.789
13,3,13,0.692,0.652,0.705
13,5,19,0.749,0.634,0.802
13,6,35,0.679,0.577,0.828
13,7,18,0.629,0.468,0.677
13,8,144,0.302,0.179,0.447
18,0,12,0.758,0.692,0.88
18,2,21,0.753,0.696,0.876
18,3,17,0.663,0.584,0.755
18,5,17,0.702,0.62,0.862
18,6,45,0.69,0.585,0.84
18,7,33,0.513,0.403,0.624
18,8,196,0.283,0.173,0.434
23,0,13,0.768,0.719,0.807
23,2,11,0.82,0.722,0.904
23,3,6,0.669,0.595,0.784
23,5,17,0.823,0.787,0.898
23,6,27,0.829,0.724,1.001
23,7,20,0.544,0.416,0.867
23,8,88,0.261,0.194,0.43
28,0,12,0.818,0.759,0.931
28,2,11,0.742,0.718,0.864
28,3,13,0.78,0.728,0.835
28,5,14,0.915,0.808,0.971
28,6,19,0.792,0.587,0.915
28,7,16,0.678,0.477,0.966
28,8,58,0.364,0.221,0.488
33,0,13,0.773,0.743,0.828
33,2,8,0.787,0.732,1.032
33,3,9,0.865,0.838,0.931
33,5,9,0.927,0.835,0.956
33,6,14,0.765,0.649,0.855
33,7,9,0.394,0.276,0.512
33,8,39,0.471,0.231,0.695
38,2,6,0.83,0.757,0.971
38,5,8,0.854,0.762,0.942
38,6,8,0.68,0.501,0.785
38,7,7,0.765,0.598,0.846
38,8,32,0.305,0.201,0.36
43,8,12,0.33,0.206,0.656

=== SEASONAL WARM ===
elev,N,count,median,p25,p75
8,0,7,0.487,0.374,0.585
8,6,7,0.501,0.39,0.597
8,8,6,0.196,0.13,0.342
13,0,15,0.64,0.362,0.684
13,2,5,0.61,0.412,0.648
13,3,8,0.655,0.557,0.677
13,5,8,0.634,0.55,0.686
13,6,13,0.617,0.532,0.721
13,7,6,0.413,0.357,0.565
13,8,26,0.381,0.3,0.515
18,0,22,0.634,0.616,0.671
18,2,18,0.617,0.601,0.633
18,3,11,0.652,0.634,0.724
18,5,13,0.63,0.601,0.734
18,6,19,0.649,0.463,0.718
18,7,7,0.661,0.455,0.798
18,8,25,0.383,0.224,0.62
23,0,37,0.644,0.612,0.7
23,2,29,0.667,0.639,0.705
23,3,27,0.675,0.65,0.693
23,5,27,0.672,0.628,0.706
23,6,39,0.645,0.45,0.732
23,7,12,0.675,0.439,0.754
23,8,63,0.427,0.221,0.645
28,0,33,0.164,0.137,0.184
28,2,17,0.187,0.181,0.218
28,5,7,0.251,0.156,0.352
28,6,12,0.301,0.249,0.405
28,7,5,0.437,0.335,0.467
28,8,16,0.311,0.18,0.51
33,0,57,0.882,0.697,0.942
33,2,35,0.871,0.716,0.925
33,3,18,0.832,0.686,0.956
