elev,N,count,median,p25,p75
8,0,9,0.592,0.524,0.609
8,2,6,0.548,0.512,0.671
8,5,5,0.578,0.56,0.628
8,6,7,0.579,0.429,0.604
8,7,10,0.53,0.465,0.719
8,8,23,0.431,0.226,0.561
13,0,5,0.605,0.47,0.632
13,2,9,0.647,0.518,0.694
13,7,5,0.578,0.499,0.656
13,8,19,0.335,0.179,0.556
18,6,8,0.672,0.606,0.784
18,8,17,0.37,0.254,0.446
28,8,7,0.397,0.253,0.445
33,0,12,0.77,0.743,0.828
33,3,8,0.862,0.838,0.931
33,5,5,0.927,0.852,0.93
33,6,7,0.761,0.684,0.792
33,7,5,0.276,0.184,0.512
33,8,25,0.483,0.223,0.637
38,2,5,0.817,0.757,0.844
38,5,7,0.894,0.721,0.942
38,6,8,0.68,0.501,0.785
38,7,7,0.765,0.598,0.846
38,8,27,0.328,0.215,0.442
43,8,12,0.33,0.206,0.656
