elev,N,count,median,p25,p75
8,0,12,0.475,0.458,0.531
8,2,7,0.501,0.42,0.525
8,6,8,0.578,0.407,0.778
8,8,8,0.32,0.23,0.783
13,0,17,0.592,0.422,0.714
13,2,8,0.644,0.434,0.709
13,3,9,0.614,0.408,0.658
13,5,11,0.503,0.423,0.708
13,6,23,0.558,0.457,0.718
13,7,8,0.412,0.363,0.692
13,8,40,0.366,0.197,0.516
18,0,31,0.726,0.528,0.822
18,2,24,0.726,0.668,0.794
18,3,19,0.755,0.687,0.78
18,5,20,0.73,0.578,0.795
18,6,24,0.637,0.516,0.779
18,7,11,0.535,0.458,0.716
18,8,41,0.416,0.241,0.547
23,0,50,0.826,0.757,0.917
23,1,7,0.866,0.843,0.902
23,2,42,0.801,0.766,0.867
23,3,42,0.802,0.733,0.877
23,5,37,0.804,0.75,0.86
23,6,65,0.711,0.455,0.855
23,7,14,0.669,0.478,0.842
23,8,89,0.449,0.237,0.72
28,0,46,0.946,0.9,1.016
28,2,24,0.92,0.87,1.017
28,3,5,0.893,0.867,1.024
28,5,7,0.888,0.795,0.962
28,6,16,0.926,0.807,1.022
28,7,7,0.72,0.521,0.997
28,8,26,0.354,0.218,0.621
33,0,70,0.937,0.907,0.998
33,2,42,0.935,0.911,0.991
33,3,22,0.901,0.879,0.934
33,5,18,0.927,0.895,0.95
33,6,33,0.916,0.57,0.98
33,7,16,0.671,0.57,0.869
33,8,43,0.308,0.2,0.457
38,0,16,0.87,0.843,0.996
38,2,18,0.959,0.858,0.976
38,3,6,0.882,0.876,0.985
38,5,11,0.934,0.784,0.988
38,6,16,0.898,0.853,0.988
38,7,9,0.392,0.232,0.786
38,8,18,0.339,0.27,0.652
43,0,18,0.869,0.83,0.892
43,2,25,0.875,0.862,0.92
43,3,15,0.941,0.862,0.966
43,5,16,0.896,0.843,0.978
43,6,21,0.867,0.356,0.968
43,7,10,0.472,0.275,0.784
43,8,42,0.339,0.215,0.656
48,0,38,0.911,0.855,0.96
48,1,5,0.925,0.844,1.007
48,2,31,0.911,0.867,0.957
48,3,18,0.911,0.869,0.964
48,5,17,0.851,0.839,0.922
48,6,34,0.965,0.808,1.048
48,7,14,0.804,0.48,0.999
48,8,48,0.34,0.236,0.794
53,0,44,0.961,0.909,1.017
53,1,7,0.945,0.884,1.064
53,2,52,0.931,0.89,0.971
53,3,30,0.924,0.894,0.962
53,5,51,0.936,0.873,0.996
53,6,61,0.939,0.848,0.992
53,7,21,0.791,0.385,0.935
53,8,35,0.54,0.218,0.902
58,0,14,0.907,0.887,0.922
58,2,29,0.958,0.919,0.986
58,3,15,0.929,0.9,0.983
58,5,15,0.97,0.907,1.02
58,6,24,0.96,0.902,1.049
58,7,12,0.821,0.488,0.981
58,8,27,0.356,0.195,0.689
63,0,15,0.925,0.886,0.952
63,2,21,0.912,0.893,0.93
63,3,9,0.941,0.914,0.949
63,5,14,0.916,0.865,0.945
63,6,21,0.938,0.877,0.986
63,7,10,0.788,0.504,1.061
63,8,16,0.329,0.21,0.796
