elev,N,count,median,p25,p75
8,8,12,0.619,0.352,0.93
13,6,7,0.612,0.29,0.717
13,8,18,0.411,0.209,0.642
18,2,6,0.448,0.368,0.551
18,5,6,0.633,0.416,0.779
18,6,12,0.553,0.452,0.668
18,7,7,0.561,0.415,0.92
18,8,30,0.442,0.331,0.572
23,0,14,0.459,0.407,0.484
23,6,9,0.681,0.473,0.747
23,7,9,0.485,0.366,0.673
23,8,28,0.446,0.327,0.604
28,0,24,0.643,0.567,0.755
28,2,10,0.689,0.532,0.729
28,3,5,0.604,0.563,0.67
28,5,7,0.666,0.585,0.709
28,6,13,0.677,0.633,0.755
28,8,11,0.471,0.339,0.59
33,0,28,0.779,0.735,0.808
33,2,15,0.787,0.756,0.845
33,3,12,0.794,0.708,0.888
33,5,9,0.765,0.696,0.783
33,6,21,0.736,0.514,0.811
33,7,8,0.589,0.529,0.765
33,8,23,0.348,0.228,0.578
38,0,7,1.002,0.88,1.021
38,2,9,0.787,0.761,0.865
38,6,5,0.952,0.946,1.015
38,8,16,0.391,0.237,0.634
43,0,7,0.993,0.945,1.003
43,2,15,0.954,0.813,0.979
43,6,8,0.896,0.767,1.065
43,8,11,0.346,0.18,0.518
48,0,21,0.794,0.779,0.891
48,2,8,0.911,0.862,0.974
48,5,9,0.91,0.856,0.92
48,6,9,0.933,0.9,1.012
48,8,12,0.567,0.404,0.97
53,0,21,0.813,0.761,0.871
53,2,18,0.86,0.783,0.946
53,3,11,0.85,0.741,0.924
53,5,15,0.841,0.753,0.92
53,6,17,0.906,0.844,0.989
53,7,7,0.801,0.336,0.923
58,0,6,0.733,0.729,0.783
58,2,8,0.763,0.751,0.853
58,3,6,0.776,0.744,0.897
58,5,5,0.752,0.733,0.773
58,6,11,0.783,0.711,0.87
58,8,9,0.244,0.119,0.518
63,2,8,0.747,0.717,0.789
63,5,6,0.766,0.734,0.84
63,6,10,0.793,0.746,0.836
