elev,N,count,median,p25,p75
8,0,14,0.78,0.645,0.952
8,2,11,0.768,0.5,0.962
8,3,7,0.586,0.529,0.78
8,5,8,0.651,0.599,0.914
8,6,18,0.728,0.648,0.975
8,7,14,0.639,0.607,0.815
8,8,62,0.447,0.234,0.823
13,0,12,0.721,0.677,0.934
13,2,17,0.58,0.518,0.92
13,3,12,0.891,0.767,0.953
13,5,13,0.928,0.689,0.934
13,6,24,0.824,0.783,0.925
13,7,17,0.752,0.656,0.823
13,8,108,0.331,0.214,0.534
18,0,6,0.851,0.809,0.951
18,2,14,0.911,0.879,1.04
18,3,17,0.857,0.817,0.921
18,5,12,0.901,0.874,0.995
18,6,24,0.834,0.761,0.947
18,7,19,0.664,0.507,0.763
18,8,171,0.339,0.213,0.523
23,0,11,0.973,0.92,1.039
23,2,10,1.013,0.951,1.048
23,3,5,0.989,0.984,1.056
23,5,7,0.964,0.886,1.005
23,6,15,0.938,0.688,1.04
23,7,11,0.513,0.437,0.796
23,8,66,0.345,0.221,0.506
28,0,5,1.038,1.036,1.054
28,2,9,1.005,0.967,1.027
28,3,10,1.025,0.988,1.037
28,5,7,1.025,1.011,1.052
28,6,15,0.959,0.738,1.013
28,7,8,0.653,0.548,0.843
28,8,40,0.376,0.255,0.607
33,0,6,1.069,1.027,1.078
33,6,11,1.063,0.93,1.066
33,7,8,0.551,0.394,0.598
33,8,31,0.569,0.321,0.808
38,2,8,1.035,0.993,1.07
38,5,6,0.993,0.738,1.051
38,6,8,0.888,0.741,1.076
38,8,32,0.395,0.32,0.589
43,8,10,0.496,0.327,0.663
